max_iter,learning_rate,min_samples_leaf,l2_regularization,label
155,0.0054013033857527116,15,0.026459633050796332,-0.7823536443340869
106,0.016532802188286247,1,0.0003008048478913304,-0.8183927792181628
94,0.0038705056951539845,14,0.0627560079760094,-0.7319991560951831
45,0.013187069163999959,23,0.00017498903208205838,-0.7672603385886576
193,0.3072684544033647,12,0.003471813065025961,-0.9449349384880068
63,0.009443141590001931,4,0.00276708283940761,-0.7649301196878607
23,0.5649646223115543,40,0.001282882471837584,-0.8930899876634223
195,0.6916858101809845,8,0.21851181143984674,-0.9416648918152304
35,0.0047192464411384034,6,0.12111059429658673,-0.6677642373718113
123,0.03679041697048743,7,0.05814959276473754,-0.8656580418693552
15,0.001201085522468325,31,0.9409232338490696,-0.5
198,0.9724134132382004,17,0.019956464739869617,-0.9259336791142848
155,0.287466471424062,11,0.8509892561751744,-0.9412027587263392
186,0.06565478153149218,9,0.0023715719198001087,-0.9079814473472188
107,0.4740604538586699,32,0.05262629224340749,-0.9386583782551888
94,0.002879400987401877,10,0.004859914765143606,-0.7168103571117854
124,0.15323589255488654,7,0.00010223543290334028,-0.9244899002550282
53,0.028862680356625307,3,0.00021575274065797225,-0.8107250120185009
41,0.20612388351673236,2,0.0014709080724280381,-0.8893855607244603
57,0.00525725707994877,30,0.05175237817035391,-0.7203937196089603
173,0.10092790964907628,21,0.2385427230444903,-0.9226136404315834
197,0.9485302250471378,19,0.008659722361471917,-0.92336528496562
160,0.4236577340684364,13,0.0006126630429823543,-0.9424977660701762
139,0.8084923888569744,24,0.3093509773618537,-0.9360602607688984
164,0.2820369703605791,27,0.0006098581003278459,-0.9416193357755188
179,0.05998021511258968,13,0.0007035950125950295,-0.9027863785535322
151,0.3889397397165128,17,0.007737985944145191,-0.9430254928702858
137,0.14062625160578798,12,0.0005225003920823982,-0.9232976865401076
138,0.0975506582726347,18,0.013059598491846262,-0.9099525116036656
153,0.2594926241066703,16,0.004816345865334374,-0.9404387076964849
74,0.06026817990653826,36,0.008414174793967994,-0.8641713994471081
171,0.029540708745102305,21,0.019596918902805315,-0.871135370450836
185,0.3634809899945981,25,0.030834269313294044,-0.9436627492472732
147,0.017961650528212542,16,0.004837651091402776,-0.8386097466226363
124,0.18211031808199868,5,0.0021428137517703347,-0.9284348710364024
112,0.09110442758903872,15,0.0010489259255439306,-0.900844629606674
188,0.5993928859410195,25,0.033382286914501326,-0.937464982614262
86,0.011024037891057452,39,0.11669836093181528,-0.7905936798057678
200,0.0019208915891337566,28,0.028622006384707157,-0.7385899908659939
184,0.007679879756849661,34,0.12460600700292605,-0.8083706718678606
167,0.04782926106041506,22,0.4040037610682704,-0.8908188916170253
