max_iter,learning_rate,min_samples_leaf,l2_regularization,label
114,0.002084512251456521,19,0.09426707088052727,-0.6875
122,0.23862733886154058,26,0.055326619563734594,-0.7925
164,0.1598063862250656,11,0.6873795355421161,-0.7375
47,0.07160779122699756,8,0.024742303732119254,-0.7625
93,0.0026217100567384874,2,0.0525863328949999,-0.7475
95,0.4704065570771104,12,0.03256894313251397,-0.725
102,0.05326441215312624,24,0.0008572018063611293,-0.8399999999999999
87,0.019267423757025802,22,0.3385174117218569,-0.7925
94,0.033323444650506885,31,0.03295841785875913,-0.8399999999999999
165,0.0025049821504955095,39,0.0004828947147580334,-0.74
21,0.001264665942308917,27,0.018559130924956504,-0.5
128,0.31688300144623416,26,0.05670764641793198,-0.77
49,0.17932441601376994,14,0.017317011650093615,-0.74
23,0.573700499901649,16,0.0011169877701764628,-0.7725
76,0.010611123663473943,6,0.003624558648306635,-0.795
16,0.0848010011255978,32,0.19000162479804447,-0.835
169,0.02355188288785964,12,0.0030049323172166155,-0.7525000000000001
188,0.04898446681918611,28,0.004442957139600995,-0.8300000000000001
77,0.003677242046952832,19,0.00011463336055371026,-0.7125
87,0.006254865352040899,25,0.0021563330256682244,-0.7849999999999999
141,0.035935094114321095,36,0.00012512107413685712,-0.8275
54,0.014490623801206533,32,0.000377945460476726,-0.82
143,0.10909119710238858,33,0.0007207072933731175,-0.82
106,0.008495720382352133,22,0.010257521600594288,-0.8125
71,0.04257093484258698,40,0.0002473531845769127,-0.7700000000000001
63,0.029662082856411667,29,0.00834864859864399,-0.86
61,0.8928935695366181,37,0.006763818725253216,-0.8100000000000002
33,0.1187818580002022,29,0.001458534549960437,-0.8399999999999999
40,0.13147203104566083,29,0.0012317655924850596,-0.8399999999999999
37,0.8463913850752839,35,0.13085620656526023,-0.8175000000000001
33,0.26449807166176803,20,0.0091114759502981,-0.7825
120,0.024899027817725412,30,0.6540486516320361,-0.8399999999999999
122,0.005620925107497815,34,0.8370009761976573,-0.7849999999999999
68,0.0011475118407407094,17,0.09825606175604068,-0.5
10,0.08064084502112824,38,0.00023093265546276153,-0.775
60,0.1585431905961697,23,0.0057488691941858325,-0.8149999999999998
145,0.022888610368859127,30,0.17343130568002169,-0.8399999999999999
194,0.015822679146379547,2,0.5299344872928125,-0.7825
113,0.004458392581063285,25,0.46644707931494145,-0.7849999999999999
37,0.3972071637224751,21,0.002137727357527536,-0.7825
152,0.010378743298217377,6,0.23405974809476848,-0.7825
178,0.0019551475772014233,27,0.06099174962744935,-0.77
42,0.05674746347484405,18,0.012717516984143369,-0.77
50,0.19933604328254703,15,0.022378465864848703,-0.73
83,0.06317859167319308,28,0.03523422523202177,-0.8399999999999999
86,0.0758921190890682,24,0.05062756736239466,-0.8399999999999999
99,0.6683167268005191,11,0.04655164965291786,-0.7474999999999999
134,0.025188179516389922,40,0.08235680306044504,-0.7575000000000001
109,0.013235494626142614,31,0.3151189187171133,-0.845
113,0.0028840318049371144,35,0.014552993318672446,-0.74
103,0.014563806951521046,32,0.3111613467900373,-0.8474999999999999
155,0.008290448387623042,38,0.027318424265084955,-0.805
93,0.01861669378524639,26,0.0019646824842535337,-0.835
27,0.002008631646660887,32,0.0006915072754635769,-0.5
127,0.0015768413337701938,34,0.0071103477718603945,-0.58
59,0.003407162630267115,9,0.0033547860456376896,-0.765
79,0.006600014471090203,37,0.08650097432968026,-0.7175
98,0.040938859145607756,23,0.9377033075818061,-0.8274999999999999
11,0.029086806230719974,14,0.004695165243723498,-0.7849999999999999
65,0.10118757533599937,19,0.332585840900966,-0.795
75,0.032012966805392236,27,0.036827410571126706,-0.8274999999999999
53,0.012277529074535456,33,0.00046730917439628865,-0.7849999999999999
135,0.004919505070683837,39,0.018541727391728553,-0.7425
92,0.0077140139411791,4,0.010064807307731108,-0.7775000000000001
103,0.018096991712058242,36,0.00015069717605972798,-0.78
110,0.012569848277908033,30,0.3603708433803436,-0.845
129,0.010799834640301651,30,0.4476325331208266,-0.8324999999999999
116,0.04323209882103342,28,0.15817636281085592,-0.8399999999999999
157,0.015012752603371761,32,0.25681290689496394,-0.8399999999999999
45,0.003735171015158283,21,0.12655396835835186,-0.5
105,0.020972942338406426,34,0.7560108337060828,-0.8474999999999999
73,0.05469060359263355,34,0.7300617678423353,-0.8375
80,0.019563122624695485,39,0.9440731598196935,-0.805
89,0.09429202274482901,25,0.002585257598908746,-0.8274999999999999
119,0.1339752515406771,35,0.06688772558466193,-0.805
170,0.06563883977967343,31,0.23115539431380117,-0.8300000000000001
66,0.03758659539483828,37,0.6101455558417868,-0.7950000000000002
104,0.02823632626634442,29,0.1100082506717211,-0.8399999999999999
21,0.009185645053057556,36,0.02508433607918069,-0.5075000000000001
84,0.007009112635111769,33,0.0051445957662288174,-0.7849999999999999
125,0.021889532503980524,27,0.007897588786896738,-0.8274999999999999
136,0.046622278329460164,23,0.0015159925616836112,-0.805
90,0.32418714708852314,26,0.04269803929275781,-0.7925
148,0.016220688064248336,38,0.0037047240719204596,-0.7925000000000001
99,0.005661767222603832,24,0.15011150261172299,-0.7849999999999999
59,0.03488057781251264,40,0.015028029081223093,-0.7350000000000001
96,0.004495930255634905,22,0.18998189497263857,-0.765
69,0.009743973412106338,28,0.0009966310882338796,-0.7849999999999999
29,0.0014593971936541629,31,0.07582880059274164,-0.5
108,0.00240473515088807,33,0.4346189128951138,-0.77
179,0.07475995667570726,17,0.012064978059302017,-0.74
140,0.16781995038056766,20,0.022648486503809833,-0.76
131,0.027324881072712946,35,0.7474623985839983,-0.8150000000000001
54,0.02195884910873213,29,0.03066122926892828,-0.8225
200,0.05131387566781266,25,0.0007066060329423741,-0.8175000000000001
124,0.011299662340727264,34,0.28991040516682104,-0.8099999999999999
117,0.20748313447298058,36,0.0017673431759743828,-0.8300000000000001
64,0.06318087251505536,32,0.005818476395465129,-0.8399999999999999
161,0.12587978970721225,39,0.00028070251999096725,-0.8100000000000002
80,0.08433144939475289,26,0.5888081543349447,-0.85
