max_iter,learning_rate,min_samples_leaf,l2_regularization,label
11,0.706607356094736,32,0.002942921341310468,-0.1639776719182457
62,0.003903465146198081,5,0.00021029542821227731,-0.9392099788872328
181,0.012861054046809369,15,0.3229732079083096,-0.9793894374068554
30,0.12687952951275105,27,0.0007672197572986733,-0.8110343038109431
191,0.9369825959530113,12,0.001942512780579068,-0.28367929884323323
89,0.006786564064026233,36,0.13349553177152718,-0.9393581230927543
66,0.046754495668223886,13,0.5150559586604484,-0.9786447244695194
171,0.01471042775427447,40,0.03992335706885905,-0.9904008986232348
90,0.011907493232569802,34,0.0003632609192622709,-0.9533466618763752
58,0.007223318677314644,18,0.3855032683261764,-0.9401779061102832
22,0.0013644661791221474,17,0.9249725162510102,-0.9351864665389256
37,0.0033133169037051,32,0.004318777553290268,-0.9381660944929386
141,0.07344373090227302,29,0.001220702872758234,-0.995237429919807
170,0.02872678103989907,38,0.01619605954148409,-0.9925581931729474
122,0.004220483522703771,6,0.0700766052849789,-0.937048137995884
86,0.002713021433012029,21,0.015145382301904872,-0.9399542482790434
161,0.00221171297376373,4,0.9507988441484504,-0.9351864665389256
174,0.0073566523983784144,13,0.014892420649266406,-0.940252310872188
150,0.058781231849137985,10,0.5686671414027948,-0.989210865978284
117,0.0019422698283755792,27,0.00011310677690626072,-0.9392088700234192
143,0.2165526408943836,40,0.000831801366585548,-0.39044691647150653
199,0.13640701011596934,26,0.0068101520993763135,-0.6150528262720886
129,0.024215067965770536,37,0.03440906462647168,-0.9895073761620892
139,0.3303717681392476,25,0.0015195425718446446,-0.4509906589312327
164,0.06964240962478191,31,0.013439016525449295,-0.9955337183308494
103,0.03082123375483706,23,0.0067338386508207036,-0.8878647053083528
152,0.4700243268850887,30,0.0007158419109635443,-0.2463702451919665
193,0.08852339364526587,37,0.00010465300968599924,-0.9915154176424668
109,0.05886396760125918,33,0.0021980089970918986,-0.99345149386133
159,0.2338668936671213,30,0.004509382392417919,-0.6922368444397132
131,0.08600412212534136,29,0.00024259362468927973,-0.8967292952948691
136,0.4539451848516706,23,0.0012882124309102484,-0.3826130153999006
183,0.020621271031852045,35,0.12945224082105267,-0.988614519019232
107,0.1773004148292779,20,0.0004322901672561812,-0.8703454332552694
186,0.05027187992317519,24,0.009091525004462649,-0.945087067986658
161,0.9027424852701642,32,0.0383621522976107,-0.5687455645447448
197,0.08142614140601499,29,0.004008551528821317,-0.9794525317578596
72,0.03906702142187828,28,0.1523718228211085,-0.9789425652899012
97,0.01774672891648765,21,0.002637009221353111,-0.9503686972180824
115,0.011067828772863969,39,0.0001500592834633156,-0.952156851004187
52,0.11587362651962127,1,0.024029615501216024,-0.9063753016109576
176,0.5816287603763621,31,0.0631199872570311,-0.6190345344546164
81,0.15527141677515388,17,0.00048681351981287764,-0.54707614789582
146,0.2785166206338404,35,0.0011570879489803175,-0.6200054556099639
127,0.009722010858539042,33,0.196365304014268,-0.9395071543893264
166,0.0395723252568744,19,0.0002577708316665201,-0.9924076094670355
154,0.00474466197471758,15,0.0728034343525366,-0.9405501516925696
44,0.10877870830870548,27,0.022224528790690836,-0.98852747320985
14,0.014815153411945562,23,0.003248522042999397,-0.9487315706834151
177,0.0668206113515496,34,0.010676120820293192,-0.9959805904478036
97,0.3507992690393892,8,0.0006076349133246948,-0.29678706709956704
187,0.9291784959741072,38,0.0067773295451707,-0.3433383897523242
176,0.06556446317003067,40,0.3111208161735425,-0.9928571428571428
199,0.005443611431160792,35,0.012745785900034357,-0.9399542482790434
168,0.008377752658099919,25,0.05224287052737715,-0.9402520890994251
179,0.0011677582906933473,31,0.02356710136180027,-0.939805438755234
121,0.02511703214446914,36,0.00959424946457246,-0.9880161761053154
193,0.03536530416106412,33,0.0018077091350147492,-0.9983619863742816
134,0.19172830761822554,38,0.6565061934997221,-0.996279761904762
156,0.047672045331353115,11,0.005734069540888074,-0.968302906110283
72,0.6819477062046715,39,0.7347438121137981,-0.9703862394436163
147,0.20575016050284603,14,0.0009664223229358924,-0.4603479171102123
34,0.003037964094111395,37,0.0016297212153641536,-0.937719000603222
134,0.4000373256337732,17,0.00031964387481114555,-0.3803107923497268
23,0.03436772442383415,2,0.0945847655895748,-0.9368988849265488
190,0.2596689713327009,34,0.2577590954578385,-0.9861593836491376
142,0.1363296889195274,33,0.4212564882660724,-0.9941964285714284
195,0.09863170861734973,39,0.002392467784129923,-0.9089423213398624
171,0.17840053832512148,28,0.00019319786539136823,-0.5580266216024412
181,0.02218707064870648,34,0.0018183115467480086,-0.9927045631963664
200,0.05498228994766093,36,0.003739373807976279,-0.975296731956568
112,0.0172306404935199,38,0.7092466376177134,-0.9786445026967568
121,0.037912067802321536,26,0.0006217696667070807,-0.8931554272230502
126,0.07318818157827951,32,0.028096726040768284,-0.9857129550777092
161,0.027692677951198702,22,0.1080841748974498,-0.9929313258462849
101,0.3139714026660143,40,0.000973417138040832,-0.4571359821872116
137,0.543158186202056,30,0.005385655674136282,-0.4451001525796608
190,0.013129977300454078,28,0.01928836100154271,-0.9401035013483784
148,0.10059285314423276,37,0.00014201598849227783,-0.8403885902349018
86,0.1873322593150433,32,0.00033780892428337216,-0.681689775388546
174,0.12263651176333873,36,0.008219358334105583,-0.8015014016038606
154,0.005984248998197756,38,0.002976455445325679,-0.9405497081470442
184,0.15279424299431665,26,0.22904486805437685,-0.9910703197076148
164,0.045357942613507854,30,0.0316415741958331,-0.9913674952097082
93,0.001754636492326424,33,0.0462715950832594,-0.9390602822723724
171,0.01883487050125215,24,0.010981698182440809,-0.9396561856858988
132,0.08219843029888535,34,0.4876223030924725,-0.9934521591796182
116,0.0612397398437324,39,0.001420433916072465,-0.9843741129089488
59,0.2372816712699625,35,0.00048530367472174866,-0.4496225427577887
143,0.031188399980590593,29,0.002096648678981349,-0.9895762366049252
178,0.010064165837198684,7,0.0049900154751303825,-0.9401032795756156
159,0.7872706198306404,19,0.015626988505472082,-0.6363474469519551
190,0.003951470226830092,25,0.0035895634984937797,-0.9402520890994251
166,0.014253026375669844,27,0.0011166991583717418,-0.9409970238095238
79,0.15424809004798173,31,0.018708436718438748,-0.7189070151160315
150,0.3724681712927742,22,0.17447795302400862,-0.8877812078631753
125,0.0427699120917244,37,0.0007717597250631724,-0.9919622897594208
110,0.024532953816576185,16,0.3213437974744262,-0.9793894374068554
194,0.3035430476393872,40,0.000194002507923891,-0.4070160031225605
157,0.5194063356008183,36,0.07977185404865564,-0.6577611596054218
105,0.008356082904860056,34,0.008271048647811441,-0.9398056605279964
140,0.052089067263379314,31,0.061050175496816926,-0.9904744162940884
182,0.0339033877895135,9,0.8237985076118478,-0.9799837884110426
187,0.4473010029334866,29,0.01138146389807067,-0.6616386345894543
197,0.09447444248852244,20,0.0004113329447663224,-0.5499186093960684
119,0.07271896540652295,39,0.002659427414551716,-0.9791657795756156
175,0.6919657190223972,33,0.0002480999323822837,-0.3282508560428642
136,0.01568439461905017,4,0.00012456284470371766,-0.9734080042225534
151,0.10955358703058984,24,0.12643869836049978,-0.9909210666382796
69,0.012204580493221612,13,0.6069464035411664,-0.9400288748137108
130,0.06399621802134695,38,0.000609446507391711,-0.9892839401036122
100,0.208083662764672,28,0.006795055787693812,-0.721505304804485
171,0.020581697922569704,32,0.0016469080460546814,-0.9911445026967568
200,0.2759457323418608,36,0.9999868654562192,-0.9989583333333332
161,0.13193530586390634,35,0.043031623008246186,-0.9697894489390391
146,0.03750156855122255,25,0.0008503033314495679,-0.8931556489958128
55,0.2654471340626786,30,0.25128257769805656,-0.984075384997516
80,0.8015624897227479,37,0.5012398619292121,-0.7571428571428571
44,0.1570883053382773,40,0.9861555116446976,-0.9934519374068552
64,0.6421198992950323,38,0.15289777215558098,-0.5871500425803704
196,0.0044208131134226905,3,0.0008807903165815822,-0.9368250345965509
37,0.004170067017224254,24,0.00020263504477157726,-0.9387619979064652
18,0.015331320960233409,10,0.273697173519478,-0.9367502971755022
20,0.050420556299134014,15,0.001445506631128241,-0.7020876579022071
116,0.012981271253564393,33,0.0006251448671247867,-0.9523054387552335
186,0.6280388242947252,29,0.021447446819343186,-0.6226762649918387
194,0.1466990200856933,40,0.004921232568628935,-0.27799703711588963
136,0.0011028086051665976,7,0.0023598147502658247,-0.9359310685898801
40,0.01222171206031438,3,0.24670383214902505,-0.9362284658647364
126,0.0074914611206855315,24,0.009907385548217684,-0.94040134216876
106,0.2960104877704516,9,0.002913869746859493,-0.4196399740969413
139,0.04542742257996977,5,0.13099498039500676,-0.9895078197076148
156,0.006452390623136438,18,0.0016176589298378516,-0.940252310872188
58,0.008179398474430347,12,0.04780223185550395,-0.940252310872188
142,0.041915493327211235,5,0.03582496301291635,-0.9941948761620892
182,0.6943494842539613,22,0.004521148063532589,-0.2516601909019941
90,0.00610390987701696,6,0.0005890129893273117,-0.9399540265062806
90,0.0026483682167338014,7,0.8516397688337153,-0.9360052515790219
172,0.008345193045567145,23,0.015726737661069117,-0.9401032795756156
193,0.2550960112975167,37,0.00014526667153214292,-0.4005972340501029
149,0.048920108823466604,2,0.08928451502793411,-0.9878706931729472
162,0.08173788461562463,14,0.7357978992539062,-0.9919640639415228
139,0.024104909823380958,18,0.07747691552694813,-0.9795384687034276
78,0.029654257001873317,1,0.24358216824163545,-0.9380913570718901
168,0.0958930011271531,13,0.7140745225522434,-0.9897310339933291
156,0.09342364121286913,16,0.03343884667745988,-0.9757138865233128
167,0.26108484596671777,27,0.5689705236137472,-0.9958333333333332
118,0.09258777047041557,11,0.4238310503103064,-0.9894340802639984
181,0.3503265865032561,28,0.00870465162482523,-0.6703035182031083
198,0.21192785587999166,28,0.15507451610960565,-0.9947905578028527
127,0.4050322903918062,32,0.03605232134852665,-0.7181718384074941
145,0.9995101996520476,26,0.0600047751217296,-0.7864199666453766
195,0.1850768826435865,35,0.14074201996526256,-0.984670623092754
199,0.8993922040848094,30,0.5253453008573052,-0.8055161539280391
170,0.4520792490400642,39,0.3789861179835473,-0.9843743346817118
178,0.16488899165854307,26,0.15652894245202062,-0.9909164094102618
189,0.5579045808939017,20,0.02089829881414836,-0.7079733961393797
68,0.2665417630117637,32,0.9888736003351084,-0.9965771591796182
200,0.01818577916816086,34,0.25312716606937435,-0.9898058823007594
100,0.12877493420187675,27,0.10102535505549287,-0.9863061972180824
59,0.06115418717070231,32,0.9984359353154874,-0.9873503033851394
53,0.6657758270879262,36,0.00035897485342728936,-0.0913192596338088
25,0.26920013605710125,30,0.4406816674769592,-0.981547619047619
71,0.12776495817246775,40,0.3172974047284061,-0.9919640639415228
31,0.0630560554040286,38,0.6100785104446903,-0.9787935339933288
14,0.002949887329298803,25,0.9949263718899856,-0.9342178739975872
46,0.0012306416526149714,22,0.00692782947471977,-0.9356325624512098
72,0.8560733983193113,31,0.00131583311656349,-0.2489980306578668
108,0.4860822984554756,20,0.016660172670327395,-0.5063482453339011
87,0.03516559092810844,34,0.0031485325389443296,-0.8987365605705768
120,0.3256028878776717,17,0.2114723334596753,-0.9842237509758002
128,0.2265547255012704,23,0.012679974928480218,-0.8934452842239727
98,0.013371972932196542,37,0.06378046001948802,-0.9399542482790434
41,0.12371814029509895,29,0.0002256757361420914,-0.8615525867575048
65,0.021703662584439204,19,0.03011002190955182,-0.94040134216876
83,0.0693713449413529,24,0.10637153286428164,-0.9906230040451351
113,0.03746696744531443,9,0.19937207726007405,-0.9793894374068554
98,0.7359443894774274,21,0.0008443798485994428,-0.2586175351288056
154,0.028909407053533433,33,0.31704729921956104,-0.9915174135973316
135,0.010612297156382785,25,0.5687053840956711,-0.9399542482790434
30,0.3655376040552933,15,0.04370745279414908,-0.8785561262507985
49,0.0014443694453650216,28,0.8033837600257294,-0.936229242069406
11,0.004072049927718258,36,0.0050258438219536045,-0.9332487270243416
61,0.5548222115662049,30,0.00010442263867451564,-0.2292575934993968
161,0.18385544148358632,40,0.02575085525146133,-0.6126596763891846
186,0.2420981004783152,28,0.1586967880550489,-0.9891244854871905
176,0.22281295395160286,33,0.9796278724807636,-0.9947916666666666
148,0.10150175275809158,26,0.07439722770453562,-0.9898756298346464
176,0.15910682991844755,32,0.490276863853253,-0.994047619047619
134,0.2968432486418033,34,0.6946815788289988,-0.9938988095238096
123,0.049092648966571666,38,0.3524301831123926,-0.9897316993116172
93,0.4440611786688357,31,0.8499335278368064,-0.9889878734653323
164,0.08034522001589292,29,0.12621836389038307,-0.9897308122205664
80,0.10824865672458474,35,0.8862417650368288,-0.9927083333333334
191,0.8367552441675311,33,0.2411655662012353,-0.8982109591228443
112,0.19012316536138754,27,0.050893752996163805,-0.8008919700518062
175,0.1432366620806317,39,0.1996969654441913,-0.991367938755234
72,0.5410423721471658,24,0.4233438996526385,-0.9708120431481086
154,0.3840348047592628,22,0.30482755962280395,-0.9979160013483784
186,0.2969972918705909,36,0.5933674579495637,-0.9925595238095236
129,0.3857371767111599,22,0.3014064466390168,-0.9944933823007592
152,0.9824361728519254,18,0.08063681731342373,-0.8512836207508341
143,0.7252503322548249,12,0.17696203557267934,-0.898090092967142
167,0.07801663252683949,16,0.10856306475696162,-0.99434457277695
106,0.475130025145082,23,0.0020966136217658304,-0.3702993045206161
65,0.057593683235548414,21,0.2711882952895949,-0.9793894374068554
140,0.6102843126374761,27,0.008698083018820586,-0.3048705734156554
160,0.024676714171906467,19,0.12524051284173385,-0.9911456115605706
77,0.27421940009453805,14,0.0004311760930950162,-0.3297634571712441
181,0.11270159962439773,23,0.3884500950421609,-0.9936011904761906
20,0.32803467888988025,25,0.04106815043344654,-0.6844967532467533
37,0.01604658352245153,17,0.057125999822419435,-0.940699182989142
132,0.1394702740787546,10,0.6718990569707809,-0.9900293183592364
147,0.19183632274640786,19,0.021541430693224055,-0.8822754772549855
56,0.05680282462010059,30,0.0041518093407868824,-0.8735099088070399
116,0.04090912752073002,26,0.5059521998462029,-0.9909223972748564
91,0.4050128177529733,31,0.09596658394915553,-0.5175668423106947
158,0.7745054688982096,21,0.013061548272382944,-0.3493368994393585
171,0.16290679452659676,22,0.07235289030140732,-0.9925504311262509
95,0.07040142154866122,5,0.03070255390801511,-0.9924051699666452
101,0.6319872675127791,29,0.2433147187150808,-0.6034168529557873
85,0.08760391626121365,25,0.0011590118695355136,-0.6301069831807536
151,0.9544426663048456,7,0.9991923740515096,-0.9894338584912354
42,0.0050834625020653905,27,0.7519324655740011,-0.939060171385991
138,0.204345497036568,20,0.3415498381057249,-0.9927076680150451
195,0.24276848753830815,35,0.006411763694307935,-0.6187692942303598
165,0.0018881019854809825,32,0.4807042701971752,-0.9393585666382798
50,0.010959469652645288,37,0.19904290221302845,-0.9395071543893264
109,0.5362749692884365,28,0.15885014405183906,-0.5157835675253708
124,0.1179333968290706,24,0.01807672779574584,-0.7950757575757575
66,0.3535013841591457,15,0.00021214109747103016,-0.2672040220708253
185,0.455658198878886,17,0.6368488755179197,-0.9931543183592364
120,0.2614354065644664,31,0.0001635471787696172,-0.4184741146831311
28,0.1728897238951404,34,0.403781334614762,-0.9913688258462848
35,0.0072905460265336765,38,0.1268310359020794,-0.939358123092754
199,0.03014087966670065,18,0.27969341266697645,-0.9874253734653324
144,0.3170591810845149,13,0.002871365510508267,-0.4798488396849053
155,0.020428793548357416,25,0.037199755344833635,-0.9795386904761904
75,0.045408296075863976,29,0.05295429748394702,-0.9884639353133204
104,0.0704978569177316,33,0.8513547820885261,-0.9933035714285716
15,0.11861304106855278,21,0.0308234551571775,-0.9655375106450927
193,0.6858106873723879,13,0.005470002091762532,-0.2967652224824356
173,0.020803279143910298,1,0.0002716528791107165,-0.9351886842665532
187,0.0010483625190698918,5,0.00021346004534664282,-0.936080321659215
153,0.00941048278431539,19,0.0007251616669140888,-0.9401030578028527
28,0.002015673348937757,6,0.0006081487860836488,-0.9375701910794124
