max_iter,learning_rate,min_samples_leaf,l2_regularization,label
35,0.0022980517401178864,37,0.003866736041026301,nan
30,0.08443945027759915,15,0.010844957827822412,nan
195,0.12341720147132332,24,0.000339656067422254,nan
90,0.036668768060533936,21,0.010887416796771536,nan
56,0.13018977880108354,39,0.01765624878959093,nan
128,0.0014847930300031361,22,0.0003790359557218237,nan
61,0.2847745281013877,15,0.04608818332794322,nan
127,0.05341541058722001,40,0.00031572130577695875,nan
86,0.009828323691931507,28,0.02418130508590672,nan
108,0.05238089556590056,36,0.03365349407669922,nan
55,0.0012781758557007367,29,0.0203764667600839,nan
114,0.04745796292006,27,0.005024937753715584,nan
24,0.0035813051316084194,13,0.00013746857782764483,nan
26,0.03838336202815947,13,0.008468631496501131,nan
99,0.020989368251436873,2,0.03453880806894625,nan
100,0.0052206754151575855,29,0.0022100010748201306,nan
15,0.01568626195685204,9,0.0015595761426626734,nan
15,0.2704314164397647,17,0.008961557855075923,nan
172,0.019719923541462757,3,0.00018368108748986783,nan
57,0.03653178328338124,29,0.9097891461216606,nan
16,0.08960030676556377,16,0.10553382413482465,nan
157,0.0014013970878994017,15,0.32461468271524646,nan
170,0.0028801943720862568,18,0.688164171854073,nan
40,0.005881828528537575,34,0.010286131285072355,nan
44,0.01004779104321078,1,0.029559058968527202,nan
90,0.005453484599036225,18,0.057380082253778816,nan
56,0.007841362972506852,37,0.010086068725379262,nan
188,0.003967121040450343,29,0.006713056737171904,nan
137,0.32876627374564626,2,0.29419896431029346,nan
92,0.004938474813141938,2,0.002665358328457658,nan
64,0.6686849348963553,26,0.15466922296977748,nan
85,0.039640501224528286,38,0.16166414892684822,nan
68,0.004838236904855702,33,0.00563887222992188,nan
49,0.018459212905072842,3,0.000597260480690172,nan
184,0.02292248645301708,5,0.0002409332153735727,nan
153,0.001115178324169504,30,0.0021415978718775947,nan
